user,location,tweet
winwithTrump45,"New Jersey, USA",Biden Has Lost All The Credibility When It Comes To The US Economy | Red State of Mind Daily https://t.co/crVA2sH8Lr
marhom,brooklyn,@hottestsingles flipping a house???? IN 2018's ECONOMY? damn these cenobites only want pain
ordoabchao,"Toronto, Ontario",@SCMPNews Let us All be reminded of the size of China's Economy after HyperCapSoc:
AishaDaughter,Nubia,"Even if one can argue that western white attitudes to Africa and African people have changed (which isn't true), the legacies of colonialism  and slavery(in the case of Diasporic Africans) live on in our mind, economy, politics, education etc. So it makes no difference."
NickBaumann,"Washington, DC","@daveweigel @tomscocca The especially relevant part of the  parallel is using politics to adjust the supposedly ""iron rules"" of capitalism. The Wall Street guys inevitably think they run the world right up to the moment Hank Paulson is on his knees begging Nancy Pelosi to save the economy."
RantsOutloud,"Virginia Beach, VA","@Askprogressives @LadyHecate5280 Of course they did! 

Wall Street is PUSHING for a Chinese Style Economy! It allows them to thrive with accommodating regulations that ruin their competition while having a cushion that protects them from failure via gov. Biden is the perfect puppet."
jlboone1,"Clayton, Delaware",@Fame21Moore Agustin busy watching the inflation numbers in every country…..The destruction of every economy on the planet is right on schedule!!! 👍 #WeGood
ReynadelCamino,"Brooklyn, NY","""businesses in the aggregate can safely say that when they spend more money on workers, that’s going to be a situation where there is more revenue coming back to them."" https://t.co/iJ8lbiWZZ6"
JohnnyRingo1625,"Chicago, IL","@jhncolwell @CNN Before covid the economy was doing well. Then covid, then garbage economy. Once the vaccine came it should have been business as usual. But some people want power more than prosperity for the people. Its not price gouging when you stop US production then buy from around the world"
lovebluejayxo,"Seattle, WA","I really think the N eff T boom is just a signifier of the coming collapse of the economy, stock market, and especially of cr*ptocurrency

It’s all going down the tubes in the next two-three years, calling it"
FinalJive,"Staten Island, NY",@Bink_BF @Strandjunker This guys talking about 8 trillion since welfare began (which literally goes back into the economy) but fails to mention military spending at 700 billion a year (that we know ok).
brutal_regime,Los Angeles ,"@bach_kenneth @comradeaux What part of we have a legitimate and verifiable student loan crisis created and caused by capitalist pigs and it is causing a serious drag on the economy and the lives of millions do you not understand, Ken?"
DomingosPizza,Canada,"@Sev_Plays @Shivaruka @Star_isnt_funny @NintendoCanada Lmao I got blocked for that too
I wasnt even being argumentative it just seemed extreme to tell someone to take a basic economy course for something I just googled"
PresidentRuben,"Pittsburgh, PA","No matter what u post or say people are going to believe what they want. People told me gas will be 5-6 dollars by now, the economy would of crashed by now, start a war, n the list go forever smh. Like I always say time always tell the truth!"
danaparish,NYC,"The hopium spreaders who’ve sold their souls to propagate economy-boosting lies have huge platforms. But remember, repeating lies over and over doesn’t make them true."
tankmctankytank,"Nashville, TN","@nhannahjones Political economy gets the goods… and demystifies how they are produced, distributed and how this determines the flow of history."
winter09619412,"Orange, CA","12/12/2021 Miles Guo: Both the Democratic and Republican presidential candidates will be committed to taking down the CCP! The Sino-US economy will definitely be decoupled, and the assets of the CCP senior cadres in the West will surely be seized;"
runhack,New York,"@sammy44231 @MdRisette @skepticalprune @ogilville1 @immunotoxPhD @zeetubes @MatthewNewell67 @provaxtexan @SkepticalMutant @AbsoluteGnosis @raouldukeerik @VENGYNCE @swedishchf @AndrewLazarus4 @doom37455413 @Particle96 @janem1276 @LukeAnglindoor @mcfunny @_DrCJM_ @MsTrixter @JimeeLiberty @handmadekathy @Piper_O_Brien @kath2cats @J_EmpyreanGoals @WendyOrent @bush_wendy @tomsirolimus @TakeThatEarth @alisonpalk @rpagano697 @sj_ca1867 @PaulDesmoParker @Monstercoyliar @_mamadeb @richykirsh @sailor_man_dan @satekor @paco7320 @andylumm @SultaneAlexand1 @kevinault @tenebra99 @Sara4843 @deralteGaukler @namagoy @Tony__Heller @Kathmarval @Fannyi5 If you open the economy, why would you not at least mandate masks—since they do reduce spread? Why not take at least some steps to mitigate spread, as opposed to just allowing free contagion?"
shaguftahakeem1,United States,"India Cities Ban Eggs, Drawing a Backlash - The New York Times.               Speechless, that eggs have become more of a focus instead of the economy. https://t.co/dYwsAnnu9z"
Megresistor,United States,"Biden’s biggest challenges in 2022? Convincing Americans ‘the United States is on the right track,’ winning the economy battle, analysts say. #SmartNews  https://t.co/AH5WMLaEnL"
texas_atty,Texas,"@mlakan @EpochTimes @andrewliberty23 There’s always growth with inflation at the beginning. Inflation means that the economy is operating at maximum capacity and the only thing that can go up are prices. When the fed reduces the money supply to fight it, it reduces growth, and it takes a while for prices to react"
birdalicious19,Canada,"@Grumpy7447 @Nathan__Rudolph As an Edmontonian it has everything to do with high ticket prices and our awful economy (thanks JT). Marketing is there, just not enough disposable income."
pabloecarvallo,"Miami, FL","@jrichlive smbs are the heart of any economy, empowering small business to grow creates economic well-being."
LaurieAdkin,"Edmonton, Alberta","$9.2 billion that Canadian govts do not now have to invest in an ecologically sustainable economy. Even worse--a giveaway that worsened our environmental crisis. #cdnpoli @350 
https://t.co/MLrg2iOErO"
BarbaraMulvaney,"Santa Fe, NM","In Turkey, bread lines grow longer as inflation soars https://t.co/0uhXNVjZOe via @AJEnglish"
StevenOverly,"Washington, D.C.","Blinken now gives a nod to Biden's planned Indo-Pacific economic framework, which is not a trade deal, but will touch on digital economy, technology, supply chains, decarbonization and clean energy, worker standards, infrastructure and ""other areas of shared interest."""
swaltersjr,North Carolina,Was thankful to give input/feedback on behalf of @GallantToken in the latest @Forbes article regarding #PlayToEarn and #blockchain integrations for #GameFi economy. https://t.co/Mp7IJcAt2D
crittheoryhoe,"Chicago, IL","omg electromagnetic field required by the whole. Desiring that allows
us to see and feel beyond the quagmire of the present inked from the inside to the economy"
PJSupportsBLM,"Pittsburgh, PA","@KDKA This so called #inflation is wildly exaggerated.

6 percent a year, that ain't much. You cant afford to pay 6 more cents on the dollar? That's just a hit job on #PresidentBiden. Hes doing real good!

#Pittsburgh #economy #Economics #gasolina #lockdown #COVID19 #blm #BigTimeRush"
NewMidEast,"New Brunswick, NJ","Iran’s GDP/capita is half from when Trump withdrew from nuclear deal &amp; reimposed sanctions 2 last yr. Inflation is up. Iran’s currency has dropped sharply in reaction 2 nuclear talks deadlock. World Bk expects Iran’s public debt 2 surpass 50% GDP this yr.
https://t.co/kh0ITRYQa5"
SeekingAlpha,"New York, NY",Inflation Surges Near To A 40-Year High; Wages Aren't Keeping Up. https://t.co/3ssVBzXqor #business #markets #economy
AustinLatham25,"Atlanta, GA",I’m sorry the Hawks were outscored 44-25 in the 4th quarter?? To the Rockets?? At home?? In this economy??
MattCover,"Phoenix, AZ","Biden's agenda is unpopular, his economy is a disaster, and COVID is killing more people than it did in 2020.

What do Dems do? Kick up more coup conspiracies. https://t.co/7uPx8OTVob"
RockheadedMama,"SA,TX",@Stonekettle Wait. We're being told to stay home and NOT consume? Grandparents don't need to die to help the economy? Do these people ever quit changing their message?
SamuelPMacD,Australia,@AvidCommentator Great insights. I guess the million dollar question is how badly will this impact debt holders outside of China and the broader global economy. We know how horribly Aus has linked our fates to that of China housing bubble. Risk seems everywhere.
Bubba12349,"Indiana, USA",@atxOsiris @magi_jay @CoriBush The social welfare bill extends the child tax credit. And the economy is booming. There are plenty of jobs available for people with student loan debt.
marybl62,"New York, USA",@VAButlerwrites @Politics_Polls @WHCOS @Reuters @Ipsos Yes he was dealt a tough hand with Covid and the economy in shambles.   He is doing the best he can and I think has done a good job so far.  Many voters seem so unrealistic to me.  Oh well.
mtucege,"Houghton, MI","Michigan Tech researchers Shan Zhou and Daisuke Minakata explain how changes at the household level can create a more sustainable water use system.

https://t.co/xuRpac8Y5q"
oldblueprop,NYC,"In the experience economy, systems of experience take center stage https://t.co/QYmxcaHdOe"
DemsInArray,"Chicago, IL","The people blaming Biden for normal student loan payments are no different than the MAGAs blaming Biden for normal gas prices.

Yeah, when the economy was in freefall during a global pandemic, things were not normal.

Are you really arguing that was better for everyone?"
SkyNetPlatform,Washington,But Brian Moynihan remains concerned about the potential impact of inflation and supply-chain issues on the economy heading into the winter season.... https://t.co/3ieim502Jt
SparksforSharks,"Seattle, WA","@carolinethegeek I guest spotted on another @GametoGrow group and made a character entirely focused on disrupting the feudal capitalist mercantile economy by bringing “magic to the masses.” He’d pass out pamphlets for mage hand, saying “THOSE IN POWER WANT TO KEEP YOU TWO-HANDED!”"
ChachiSTL,"St. Louis, Missouri, USA","@realchrisrufo Professors: $195k / mo
Facilities: $86k / mo
Food: $44k / mo
DEI department: $5.2M / mo
Marketing: $37k / mo

Someone who is good at the economy please help me budget this. My college is dying"
Newsweek,"New York, NY",But Brian Moynihan remains concerned about the potential impact of inflation and supply-chain issues on the economy heading into the winter season. https://t.co/Xzykf1JgQ7
onepoliceplazza,4,"At this point anti-VAXer’s are just unpatriotic Commies. They have no problems with more Americans dying, and the economy not recovering ! We should get rid of them send them to gitmo so the rest of us patriots can be safe!!!🇺🇸🇺🇸🇺🇸"
mike_houghton_,Bohemian Grove,"@ASewcialist CDC also has asserted in the past year that vaccinated individuals don't transmit the disease; breakthrough rates are ""rare,"" and the only thing that matters is vaccination status - all propaganda and lies in the name of the ""economy."""
Cubscoutii,"Elk Grove, CA",@PerBylund @EricDJuly I wouldn’t mine succeeded from the states that suck off California’s Fed money. Remember #California is the 5th largest economy in the world.
soyismurder,"Mercer Island, WA","@MoahSupernova @Cryptopia33 Their latest earnings report shows they’re still shitting the bed. They could still turn it around, but *not* if the economy collapses.

The real value is probably between $40 and $90. The current high price is because of the MOASS cult and inflated expectations (LRC, NFT, etc.)"
oaks5513,"Raleigh, NC","The number of Americans filing initial jobless claims unexpectedly fell to the lowest level in 52 years, faring much better than economists were expecting. Forbes has the details. #economy #employment https://t.co/BZjpslpu7Q"
SpokesmanReview,"Spokane, WA",The head of the nation’s second-largest bank said consumers are spending “at a faster rate” than he’s ever seen but he remains concerned about how inflation and supply-chain issues will influence the economy going into the winter. https://t.co/I1LCDouoOS
daveconte1971,"Bronx, NY","@call911juan @justinbaragona Yes, thanks Joe Biden for growing the economy so fast but unfortunately we have inflation as a side effect; I guess you preferred the low inflation of the Trump depression! Goodbye"
tonykin61495935,United States,@WSJopinion The authors fail to mention that Trump had among the worst GDP out of any president since Herbert Hoover even if you exclude Covid. The multi trillion dollar budget buster tax cut for the super wealthy and corporations did nothing for the economy.
nguyenAtLast,"Manhattan, NY",@RMaioris They view it as a more morally correct philosophy to guide a country. We have argued extensively about shorter work weeks for the same pay despite being in the computer field—one of the highest paid sectors of the US economy. We also talked about unions for that industry.
mfahearn,"Useless, Texas","@JoeBiden @txswede2010 Also, provisions in the Build Back Better Act will have a positive multiplier effect on the economy."
theo_drosenberg,"Chicago, IL","@fuckmyassfam You’re not wrong at all, we’ve put short term profits ahead of a longer vision. But a great amount of our economy is based of cheap chinese labor so to just cut all ties wouldn’t be a viable solution right away. My guess is  that it would take 10-15 years of preparation to do so"
cassidiot,"Texas, USA",If only I had $200 to spare because all I wanna do is send my friends cursed Christmas presents. :( idk how y’all afford Christmas at all in this economy.
ZenOfDesign,"Austin, TX",Last year crude oil prices were literally negative because Donald Trump fucked up the pandemic response so bad he crashed several vectors of the economy. https://t.co/wfzzL9bAbf
trevor_slatery,Alberta,"@ChrisNye16 @OneVapid According to Trudeau and his supporters, flooding the economy with hundreds of billions of new money doesn't cause inflation."
WallStreetU3O8,Canada,Stopping the Nordstream pipeline only hurts the people in your country and economy more than it hurts the Russians. I really don’t think the Russians are in any real benefit economically speaking by having this pipeline built or turned on. It makes no difference to them.
RedRock6001,"Mississippi, USA",Yet the Fed is planning to raise rates to slow down an economy that is not overheating??? Nothing good can come of this.
RedRock6001,"Mississippi, USA",Help me understand. Inflation has been caused by government policies including government Covid lockdowns causing supply chain interruptions and paying workers not to work. So this is not really an overheating economy.
attorneysanders,"Kansas City, MO","I believe @elonmusk is trolling everyone about #dogecoin.  He *has* to know that El Salvador now powers its retail economy on @lightning #BTC transactions.

Thanks to @nayibbukele, you can buy coffee at @McDonalds instantly with #Bitcoin, w/tiny tx fees! https://t.co/EjvRPo4cDT"
_natemorris,"Tulsa, OK","Just an obvious but apparently needed reminder that forcing over 40 million middle class Americans back into student loan repayment in the midst of an ongoing pandemic and record inflation is not, in fact, great for the economy."
yyztravelagent,"Ontario, Canada","HOC will break until Jan 31 &amp; bill c2 - later. We don’t have the luxury of time &amp; money. Our industry is on the brink of collapse. @R_Boissonnault said, “the economy won’t recover until the travel industry recovers”. If this is true we better take good care of it now!"
MiamiNice57,"Florida, USA","@Biden please take @Sen_JoeManchin 2 wood shed
Or sink his house boat

He’s sinking:
The economy 
Our faith in our government
Little guy on main street
The single mom
JM gets $1.5MIL from his families coal mine
Remind JM he voted 4 #GOPTaxScam $2Trl added 2 Fed debt annually https://t.co/rg0DrXrGy7"
NewLowObserver,"Silicon Valley, CA","@nogood_english When rates rise it is generally because the economy can handle increases.  After rising, rates are lowered because the economy is struggling or suffering.  The reduction of rates is an attempt to keep the economy humming, after each period listed below.
https://t.co/Ea4W3JknGh"
SeekingAlpha,"New York, NY","Inflation, Interest Rates, And The Fed. https://t.co/u7iMDoBTiX #markets #finance #economy"
Lee2957409374,"Harlem, NY","@JustAFamilyMan_ @darsims3 A relatively small group of well off Black Americans commuting back and forth to Ghana helping the economy is fine.
Let 20 million poor folks show up and see what happens."
mike_houghton_,Bohemian Grove,"@BrockKenan @ninaturner You can fix it now or fix it later, but later is far more painful to the economy. As it stands, the government is in for trillions of losses. Big players want nothing to do with it. The argument ""but people are paying"" isn't working here, otherwise Navient etc. would still be in."
JuanCZapata,Miami,painful indeed…feigned concern for people’s economic well-being? all for the cameras! stablecoins pose danger to economy? ha! scapegoat! as compared to what? trillions in deficit spending? inflation? real danger is when interest ⬆️ how u gonna make those deficit interest pmts? https://t.co/OP5jgwxkmo
melissachadburn,"California, USA",Even though I got paid for this piece I was so broke at the time I needed every penny I g]ot from those temp jobs. I was over my head in credit card debt and student loans.I think of these jobs and this piece every Christmas https://t.co/IPsZ021Egk
LeslieBell80,"Manhattan, KS",@mfaulkner43 A4: Low salaries for college graduates amidst a global pandemic and an unstable economy. There is more demand than supply for jobs right now and it won't change anytime soon. #JobHuntChat
